Company Name, Product / Service Name, Product Category, Country of Origin, Manufacturing / Service Location, Local Content Percentage, Imported Content Percentage, Local Value Addition, Local Components / Inputs, Imported Components / Inputs, Local Content Calculation Basis, Local Supplier Count, Domestic Employees, Indian R&D Contribution, Country of Origin Declaration Date, Authorized Signatory, Designation, Declaration Reference Number
Coastal Spice Exports, Steam-Sterilized Ground Spices & Blends, Agro Processing, India, Kochi Kerala, 96%, 4%, 96%, Locally sourced spices from Kerala & Southern plantations eco-pouches, Imported nitrogen flush gas barrier packaging film, Direct farm-gate sourcing cryogenic milling and grading expenses, 50, 22, 25%, 13/08/2026, George Mathew, Partner, MII/KL/2026/001111
Narmada Bio-Fertilizers Pvt Ltd, Enriched Liquid Bio-Fertilizers & Soil Tonics, Agrochemicals & Bio-Products, India, Indore Madhya Pradesh, 94%, 6%, 94%, Indian microbial cultures organic molasses base local HDPE containers, Imported high-purity biological culture nutrient media, Value of indigenous raw substrates fermentation labor and QA testing, 20, 38, 70%, 08/08/2026, Rakesh Agrawal, Director, MII/MP/2026/001212
Krishna Aqua Feeds LLP, High-Protein Extruded Floating Fish Feed, Animal & Aqua Feed, India, Visakhapatnam Andhra Pradesh, 87%, 13%, 87%, Locally sourced soya meal rice bran fish meal and domestic binders, Imported concentrated amino acid blends and immune stimulants, Cost of domestic feed grain procurement extrusion milling and labor, 34, 40, 45%, 17/08/2026, V Srinivasa Rao, Designated Partner, MII/AP/2026/001313
Utkal Fabricators & Engineers, Heavy Structural Steel Girders & Towers, Fabricated Structural Metal, India, Bhubaneswar Odisha, 91%, 9%, 91%, Domestically rolled structural steel beams welding wire local primer paints, Imported CNC plasma cutting consumables and high-tensile fasteners, Domestic steel purchasing in-house cutting welding and fabrication labor, 16, 11, 20%, 07/08/2026, Debabrata Mohanty, Proprietor, MII/OR/2026/001414
Golden Knitwear Apparels, Knitted Thermal Wear & Casual Apparel, Textiles & Garments, India, Ludhiana Punjab, 89%, 11%, 89%, Indian combed cotton yarn blended wool domestic eco-friendly dyes, Imported elastic lycra filaments and industrial embroidery threads, Spinning knitting dyeing tailoring and packaging costs in India, 55, 110, 35%, 04/08/2026, Harpreet Singh, Partner, MII/PB/2026/001515
Shivalik Precision Tools Pvt Ltd, High-Speed Steel Milling Cutters & Drill Bits, Precision Cutting Tools, India, Chandigarh Chandigarh, 81%, 19%, 81%, Domestically sourced tool steel rods indigenous grinding wheels hardening, Specialized imported PVD titanium nitride coating targets, Indian raw material procurement 5-axis CNC grinding and hardening labor, 14, 26, 60%, 15/08/2026, Raman Gupta, Director, MII/CH/2026/001616
Mithila Dairy & Food Processing, Pasteurized Toned Milk & Clarified Butter (Ghee), Dairy Products, India, Patna Bihar, 97%, 3%, 97%, Raw milk collected from local dairy cooperatives food-grade packing, Imported microbial culture starter packs for fermented items, Direct milk procurement from rural farmers and processing expenses, 60, 15, 25%, 21/08/2026, Sanjeev Jha, Partner, MII/BR/2026/001717
Brahmaputra Tea Blenders LLP, Specialty CTC & Orthodox Packaged Tea, Tea & Agro Beverage, India, Guwahati Assam, 95%, 5%, 95%, Locally harvested Assam tea leaves indigenous filter paper local cartons, Imported high-barrier aroma-protection foil, Direct Assam tea garden purchasing mechanical blending and packing, 42, 30, 30%, 12/08/2026, Bhaskar Baruah, Designated Partner, MII/AS/2026/001818
Chotanagpur Minerals & Metals, Micronized Dolomite & Quartz Powder, Industrial Mineral Processing, India, Ranchi Jharkhand, 93%, 7%, 93%, Domestically quarried mineral rocks local HDPE woven sacks, Imported high-wear ceramic ball mill grinding media, Value of domestic quarry raw materials crushing and pulverizing labor, 19, 20, 20%, 09/08/2026, Amit Kumar Pandey, Proprietor, MII/JH/2026/001919
Himalayan Herbals & Extracts Pvt Ltd, Standardized Botanical Extracts & Herbal Formulations, Ayurveda & Herbal Extracts, India, Dehradun Uttarakhand, 90%, 10%, 90%, Indian Himalayan medicinal plants domestic food-grade ethanol packaging, Imported chromatography analytical standards and fine filter membranes, Domestic botanical sourcing solvent extraction and quality control, 38, 44, 75%, 16/08/2026, Kavita Rawat, Director, MII/UK/2026/002020
